Restaurant ID,Restaurant Name,City,User Rating Votes,User Aggregate Rating,Cuisines,Country
6201323,Yee Hwa,Doha,479,4.6,"Korean, Japanese, Sushi",Qatar
6200412,Turkey Central Restaurant - مطعم تركيا المركزي,Doha,743,4.5,Turkish,Qatar
6201976,Indian Coffee House,Doha,608,3.8,Indian,Qatar
18451647,Soru Izakaya,Quezon City,878,4.6,Japanese,Phillipines
18245912,Sunnies Cafe,Taguig City,546,4.2,Coffee,Phillipines
6310488,Saboten,Taguig City,637,4.8,"Japanese, Asian",Phillipines
18506282,Sibyullee,Pasig City,645,4.7,Korean,Phillipines
18684182,Soru Izakaya,Taguig City,544,4.5,Japanese,Phillipines
18641526,PizzaExpress,Taguig City,268,4.8,"Pizza, Italian",Phillipines
6318945,Nikkei,Makati City,394,4.6,"Japanese, Latin American",Phillipines
6316125,Mendokoro Ramenba,Makati City,1832,4.9,"Japanese, Ramen",Phillipines
6313941,Chelsea Kitchen,Mandaluyong City,598,4.1,"European, Desserts",Phillipines
18695427,Mendokoro Ramenba,Taguig City,490,4.9,"Japanese, Ramen",Phillipines
18278135,Sunnies Cafe,Mandaluyong City,326,3.9,Coffee,Phillipines
18594729,Nikkei,Mandaluyong City,312,4.8,"Japanese, Latin American",Phillipines
6304287,Izakaya Kikufuji,Makati City,1293,4.6,Japanese,Phillipines
18409457,Soban K-Town Grill,Makati City,935,4.7,"Korean, Grill",Phillipines
6318506,Ooma,Mandaluyong City,1167,4.9,"Japanese, Sushi",Phillipines
18376891,Single Origin,Makati City,273,4.4,"Coffee, American, European",Phillipines
6314147,Va Bene Pasta Deli,Taguig City,352,4.5,"European, Italian",Phillipines
6316532,Mama Lou's Italian Kitchen,Quezon City,631,4.5,Italian,Phillipines
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,1228,4.9,"European, Asian, Indian",Phillipines
18643656,Nomi - Modern Japanese Cafe,Taguig City,287,4.3,"Coffee, Japanese",Phillipines
6403544,Jarryds,Cape Town,535,4.8,"Cafe, Burger",South Africa
6400918,Cape to Cuba,Cape Town,215,3.7,Cuban,South Africa
6400217,Willoughby & Co.,Cape Town,633,4.6,"Seafood, Japanese, Sushi",South Africa
6401789,tashas,Cape Town,476,4.3,"Cafe, Mediterranean",South Africa
6403030,La Colombe,Cape Town,175,4.9,"French, Asian",South Africa
6400304,Eastern Food Bazaar,Cape Town,436,4.0,"Asian, Indian",South Africa
6401054,Kloof Street House,Cape Town,519,4.7,Mediterranean,South Africa
6400078,Nuri Sushi Factory,Cape Town,472,4.2,"Japanese, Sushi",South Africa
